file_path,exists,rows,cols,preview
outputs/benchmarks/overall_accuracy.csv,True,4,6,"[{'method': 'MA7', 'mape_pct': 21.97, 'wmape_pct': 19.25, 'rmse': 9.03, 'bias_pct': 11.15, 'bias_direction': 'OVER'}, {'method': 'Seasonal Naive', 'mape_pct': 25.2, 'wmape_pct': 23.93, 'rmse': 11.34, 'bias_pct': 2.56, 'bias_direction': 'OVER'}, {'method': 'Naive', 'mape_pct': 25.33, 'wmape_pct': 24.67, 'rmse': 11.74, 'bias_pct': -1.15, 'bias_direction': 'UNDER'}, {'method': 'Drift', 'mape_pct': 25.75, 'wmape_pct': 25.19, 'rmse': 11.96, 'bias_pct': -2.19, 'bias_direction': 'UNDER'}]"
models/ml/model_comparison_all.csv,True,6,7,"[{'model': 'XGBoost', 'type': 'ML', 'wmape': 11.064908035038822, 'rank': 1, 'vs_ma7_pct': 42.5, 'beats_target': True, 'beats_stretch': True}, {'model': 'Prophet', 'type': 'ML', 'wmape': 11.156389586816934, 'rank': 2, 'vs_ma7_pct': 42.0, 'beats_target': True, 'beats_stretch': True}, {'model': 'MA7 (Best Baseline)', 'type': 'Baseline', 'wmape': 19.25, 'rank': 3, 'vs_ma7_pct': 0.0, 'beats_target': False, 'beats_stretch': False}, {'model': 'Seasonal Naive', 'type': 'Baseline', 'wmape': 23.93, 'rank': 4, 'vs_ma7_pct': -24.3, 'beats_target': False, 'beats_stretch': False}, {'model': 'Naive', 'type': 'Baseline', 'wmape': 24.67, 'rank': 5, 'vs_ma7_pct': -28.2, 'beats_target': False, 'beats_stretch': False}]"
models/ml/feature_importance.csv,True,46,2,"[{'feature': 'roll_14_mean', 'importance': 0.4681824}, {'feature': 'roll_28_mean', 'importance': 0.17849247}, {'feature': 'roll_7_mean', 'importance': 0.16248387}, {'feature': 'any_event_flag', 'importance': 0.03689259}, {'feature': 'weather_disruption_index', 'importance': 0.03270016}]"
outputs/benchmarks/inventory_summary.csv,True,11,3,"[{'metric': 'total_combos', 'value': '125', 'unit': 'count'}, {'metric': 'total_safety_stock_units', 'value': '2310.5', 'unit': 'units'}, {'metric': 'total_safety_stock_value_usd', 'value': '157292.6', 'unit': 'USD'}, {'metric': 'total_annual_storage_cost_usd', 'value': '21370.33', 'unit': 'USD'}, {'metric': 'total_reorder_point_value_usd', 'value': '1492784.16', 'unit': 'USD'}]"
outputs/benchmarks/day11_5_executive_scorecard_v2.csv,True,4,20,"[{'strategy': 'Carbon-first', 'required_units': 92603.0, 'allocated_units': 22827.04, 'fill_rate': 0.2465043249138797, 'avg_lead_time_days': 1.588235294117647, 'allocation_cost_usd': 92930.7789405801, 'holding_cost_usd': 158838.18790000005, 'lane_service_penalty_proxy_usd': 2326.1768, 'stockout_penalty_usd': 9205092.125, 'total_cost_to_serve_usd': 9459187.26864058, 'estimated_carbon_kg': 4883.685119460001, 'same_region_fulfillment_rate': 0.6764705882352942, 'cross_region_fulfillment_rate': 0.3235294117647058, 'carbon_intensity_kg_per_allocated_unit': 0.2139429868901093, 'service_score_norm': 0.8846153846153845, 'speed_score_norm': 1.0, 'cost_score_norm': 0.9560297089869888, 'carbon_score_norm': 1.0, 'same_region_score_norm': 1.0, 'executive_score': 0.9508213264127824}, {'strategy': 'Balanced', 'required_units': 92603.0, 'allocated_units': 24067.64, 'fill_rate': 0.2599012990939818, 'avg_lead_time_days': 1.7714285714285714, 'allocation_cost_usd': 96870.4540296742, 'holding_cost_usd': 173239.4286, 'lane_service_penalty_proxy_usd': 2471.5663400000003, 'stockout_penalty_usd': 9078036.105, 'total_cost_to_serve_usd': 9350617.553969674, 'estimated_carbon_kg': 5936.993773199999, 'same_region_fulfillment_rate': 0.6571428571428571, 'cross_region_fulfillment_rate': 0.3428571428571428, 'carbon_intensity_kg_per_allocated_unit': 0.2466795154489596, 'service_score_norm': 0.9326923076923076, 'speed_score_norm': 0.896584440227704, 'cost_score_norm': 0.9671301386775992, 'carbon_score_norm': 0.8225855215656944, 'same_region_score_norm': 0.9714285714285714, 'executive_score': 0.9122737563579358}, {'strategy': 'Speed-first', 'required_units': 92603.0, 'allocated_units': 25804.480000000003, 'fill_rate': 0.2786570629461249, 'avg_lead_time_days': 2.2777777777777777, 'allocation_cost_usd': 99110.79940788411, 'holding_cost_usd': 189265.769644, 'lane_service_penalty_proxy_usd': 2725.98264, 'stockout_penalty_usd': 8752161.5, 'total_cost_to_serve_usd': 9043264.051691884, 'estimated_carbon_kg': 9412.708603200002, 'same_region_fulfillment_rate': 0.2777777777777778, 'cross_region_fulfillment_rate': 0.7222222222222222, 'carbon_intensity_kg_per_allocated_unit': 0.3647703268269696, 'service_score_norm': 1.0, 'speed_score_norm': 0.697274031563845, 'cost_score_norm': 1.0, 'carbon_score_norm': 0.518839510000311, 'same_region_score_norm': 0.4106280193236715, 'executive_score': 0.8137541092790148}, {'strategy': 'Cost-first', 'required_units': 92603.0, 'allocated_units': 23323.28, 'fill_rate': 0.2"
models/optimization/day12c_constrained_strategy_results.csv,True,1,11,"[{'recommended_strategy': 'Balanced', 'recommendation_type': 'Best partial-fit winner', 'constraints_passed': 4, 'all_constraints_passed': False, 'fill_rate': 0.2599012990939818, 'avg_lead_time_days': 1.7714285714285714, 'total_cost_to_serve_usd': 9350617.553969674, 'estimated_carbon_kg': 5936.993773199999, 'same_region_fulfillment_rate': 0.6571428571428571, 'day12c_exec_score': 0.9142105695447488, 'selected_at': '2026-04-10T19:08:35.329201'}]"
models/optimization/day12c_strategy_rankings.csv,True,4,33,"[{'strategy': 'Balanced', 'required_units': 92603.0, 'allocated_units': 24067.64, 'fill_rate': 0.2599012990939818, 'avg_lead_time_days': 1.7714285714285714, 'allocation_cost_usd': 96870.4540296742, 'holding_cost_usd': 173239.4286, 'lane_service_penalty_proxy_usd': 2471.5663400000003, 'stockout_penalty_usd': 9078036.105, 'total_cost_to_serve_usd': 9350617.553969674, 'estimated_carbon_kg': 5936.993773199999, 'same_region_fulfillment_rate': 0.6571428571428571, 'cross_region_fulfillment_rate': 0.3428571428571428, 'carbon_intensity_kg_per_allocated_unit': 0.2466795154489596, 'service_score_norm': 0.9326923076923076, 'speed_score_norm': 0.896584440227704, 'cost_score_norm': 0.9671301386775992, 'carbon_score_norm': 0.8225855215656944, 'same_region_score_norm': 0.9714285714285714, 'executive_score': 0.9122737563579358, 'pass_fill_rate': False, 'pass_lead_time': True, 'pass_cost': True, 'pass_carbon': True, 'pass_same_region': True, 'constraints_passed': 4, 'all_constraints_passed': False, 'fill_score': 0.9326923076923074, 'speed_score': 0.896584440227704, 'cost_score': 0.9671301386775992, 'carbon_score': 0.8225855215656944, 'same_region_score': 0.9714285714285714, 'day12c_exec_score': 0.9142105695447488}, {'strategy': 'Carbon-first', 'required_units': 92603.0, 'allocated_units': 22827.04, 'fill_rate': 0.2465043249138797, 'avg_lead_time_days': 1.588235294117647, 'allocation_cost_usd': 92930.7789405801, 'holding_cost_usd': 158838.18790000005, 'lane_service_penalty_proxy_usd': 2326.1768, 'stockout_penalty_usd': 9205092.125, 'total_cost_to_serve_usd': 9459187.26864058, 'estimated_carbon_kg': 4883.685119460001, 'same_region_fulfillment_rate': 0.6764705882352942, 'cross_region_fulfillment_rate': 0.3235294117647058, 'carbon_intensity_kg_per_allocated_unit': 0.2139429868901093, 'service_score_norm': 0.8846153846153845, 'speed_score_norm': 1.0, 'cost_score_norm': 0.9560297089869888, 'carbon_score_norm': 1.0, 'same_region_score_norm': 1.0, 'executive_score': 0.9508213264127824, 'pass_fill_rate': False, 'pass_lead_time': True, 'pass_cost': False, 'pass_carbon': True, 'pass_same_region': True, 'constraints_passed': 3, 'all_constraints_passed': False, 'fill_score': 0.8846153846153845, 'speed_score': 1.0, 'cost_score': 0.9560297089869888, 'carbon_score': 1.0, 'same_region_score': 1.0, 'day12c_exec_score': 0.9565905571820132}, {'strategy': 'Speed-first', 'required_units': 92603.0, 'allocated_units': 25804.480000000003, 'fill_rate': 0.2786570629461249, 'avg_lead_time_days': 2.277"
outputs/benchmarks/day12c_financial_impact_summary.csv,True,1,18,"[{'recommended_strategy': 'Balanced', 'recommendation_type': 'Best partial-fit winner', 'forecast_model': 'XGBoost', 'forecast_wmape_pct': 11.06, 'baseline_method': 'MA7', 'baseline_wmape_pct': 19.25, 'forecast_improvement_pct_vs_baseline': 42.55, 'selected_fill_rate': 0.2599, 'selected_avg_lead_time_days': 1.7714, 'selected_total_cost_to_serve_usd': 9350617.55, 'selected_estimated_carbon_kg': 5936.99, 'selected_same_region_fulfillment_rate': 0.6571, 'total_replenishment_units': 10268.0, 'total_replenishment_cost_usd': 780850.78, 'high_urgency_combos': 41, 'critical_combos': 0, 'day9_safety_stock_value_usd': 157292.6, 'day9_annual_storage_cost_usd': 21370.33}]"
outputs/benchmarks/day12c_scenario_robustness_summary.csv,True,4,7,"[{'strategy': 'Balanced', 'scenarios_tested': 6, 'avg_constraints_passed': 3.333333333333333, 'min_fill_rate': 0.1959645529842446, 'max_lead_time_days': 1.851851851851852, 'max_cost_to_serve_usd': 11060741.859793304, 'max_estimated_carbon_kg': 5936.993773199999}, {'strategy': 'Carbon-first', 'scenarios_tested': 6, 'avg_constraints_passed': 3.1666666666666665, 'min_fill_rate': 0.1858632873665, 'max_lead_time_days': 1.59375, 'max_cost_to_serve_usd': 11100427.389567392, 'max_estimated_carbon_kg': 5095.559527380001}, {'strategy': 'Speed-first', 'scenarios_tested': 6, 'avg_constraints_passed': 2.333333333333333, 'min_fill_rate': 0.2101063248490869, 'max_lead_time_days': 2.28125, 'max_cost_to_serve_usd': 11064167.302524278, 'max_estimated_carbon_kg': 9412.708603200002}, {'strategy': 'Cost-first', 'scenarios_tested': 6, 'avg_constraints_passed': 0.6666666666666666, 'min_fill_rate': 0.1899037936135978, 'max_lead_time_days': 3.323529411764706, 'max_cost_to_serve_usd': 11055084.531138828, 'max_estimated_carbon_kg': 12745.9675686}]"
