strategy,fill_rate,avg_lead_time_days,total_cost_to_serve_usd,estimated_carbon_kg,same_region_fulfillment_rate,constraints_passed,all_constraints_passed,day12c_exec_score
Balanced,0.2599012990939818,1.7714285714285714,9350617.553969674,5936.993773199999,0.6571428571428571,4,False,0.9142105695447489
Carbon-first,0.2465043249138797,1.588235294117647,9459187.26864058,4883.685119460001,0.6764705882352942,3,False,0.9565905571820131
Speed-first,0.2786570629461249,2.2777777777777777,9043264.051691884,9412.708603200002,0.2777777777777778,3,False,0.7842855102451983
Cost-first,0.2518631145859205,3.323529411764706,9436508.04278228,12734.3393436,0.0294117647058823,1,False,0.6394434062328116
