strategy,required_units,allocated_units,fill_rate,avg_lead_time_days,allocation_cost_usd,holding_cost_usd,lane_service_penalty_proxy_usd,stockout_penalty_usd,total_cost_to_serve_usd,estimated_carbon_kg,same_region_fulfillment_rate,cross_region_fulfillment_rate,carbon_intensity_kg_per_allocated_unit,service_score_norm,speed_score_norm,cost_score_norm,carbon_score_norm,same_region_score_norm,executive_score,pass_fill_rate,pass_lead_time,pass_cost,pass_carbon,pass_same_region,constraints_passed,all_constraints_passed,fill_score,speed_score,cost_score,carbon_score,same_region_score,day12c_exec_score
Balanced,92603.0,24067.64,0.2599012990939818,1.7714285714285714,96870.4540296742,173239.4286,2471.5663400000003,9078036.105,9350617.553969674,5936.993773199999,0.6571428571428571,0.3428571428571428,0.2466795154489596,0.9326923076923076,0.896584440227704,0.9671301386775992,0.8225855215656944,0.9714285714285714,0.9122737563579358,False,True,True,True,True,4,False,0.9326923076923074,0.896584440227704,0.9671301386775992,0.8225855215656944,0.9714285714285714,0.9142105695447489
Carbon-first,92603.0,22827.04,0.2465043249138797,1.588235294117647,92930.7789405801,158838.18790000005,2326.1768,9205092.125,9459187.26864058,4883.685119460001,0.6764705882352942,0.3235294117647058,0.2139429868901093,0.8846153846153845,1.0,0.9560297089869888,1.0,1.0,0.9508213264127824,False,True,False,True,True,3,False,0.8846153846153845,1.0,0.9560297089869889,1.0,1.0,0.9565905571820131
Speed-first,92603.0,25804.480000000003,0.2786570629461249,2.2777777777777777,99110.79940788411,189265.769644,2725.98264,8752161.5,9043264.051691884,9412.708603200002,0.2777777777777778,0.7222222222222222,0.3647703268269696,1.0,0.697274031563845,1.0,0.518839510000311,0.4106280193236715,0.8137541092790148,False,True,True,True,False,3,False,1.0,0.697274031563845,1.0,0.518839510000311,0.4106280193236715,0.7842855102451983
Cost-first,92603.0,23323.28,0.2518631145859205,3.323529411764706,63404.79800227798,166124.23169999995,2631.24808,9204347.765,9436508.04278228,12734.3393436,0.0294117647058823,0.9705882352941176,0.5459926452711626,0.9038461538461536,0.4778761061946902,0.9583273824059128,0.3835051813594424,0.0434782608695652,0.6824618008816412,False,False,True,False,False,1,False,0.9038461538461534,0.47787610619469023,0.9583273824059125,0.38350518135944245,0.04347826086956514,0.6394434062328116
